task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	29/de52d6	106230	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (S10-L1)	CACHED	0	2025-11-30 08:20:27.048	2.8s	2.3s	129.7%	1.2 GB	2.3 GB	23.8 MB	11.4 MB
16	7a/26bf9e	106403	NFCORE_SAREK:SAREK:FASTQC (S10-L1)	CACHED	0	2025-11-30 08:20:27.734	7.6s	7s	257.6%	541.8 MB	7.4 GB	23.5 MB	4.1 MB
13	08/653dfd	107474	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-11-30 08:20:45.045	668ms	0ms	118.5%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
12	55/3712ab	107270	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-11-30 08:20:36.976	509ms	99ms	104.7%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
69	1c/936dc4	107805	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	CACHED	0	2025-11-30 08:20:45.878	570ms	85ms	60.4%	1.7 MB	4.6 MB	137 KB	3.9 KB
79	cf/266ef0	108110	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-11-30 08:20:45.985	624ms	96ms	64.0%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
73	fc/e415b5	107723	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	CACHED	0	2025-11-30 08:20:45.848	541ms	93ms	54.9%	1.7 MB	4.6 MB	137 KB	3.7 KB
70	5d/f5a557	107949	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-11-30 08:20:45.930	596ms	104ms	55.4%	1.7 MB	4.6 MB	137 KB	3.7 KB
74	f4/6b1f22	107759	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	CACHED	0	2025-11-30 08:20:45.862	650ms	114ms	47.1%	1.8 MB	4.6 MB	137.1 KB	3.7 KB
77	68/405c54	108090	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-11-30 08:20:45.947	652ms	76ms	58.3%	1.8 MB	4.6 MB	137.2 KB	3.9 KB
80	98/af946b	108092	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	CACHED	0	2025-11-30 08:20:45.976	648ms	82ms	66.0%	1.7 MB	4.6 MB	137.5 KB	3.8 KB
81	2d/2db20a	107714	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	CACHED	0	2025-11-30 08:20:45.840	589ms	90ms	62.1%	1.8 MB	4.6 MB	136.9 KB	3.7 KB
68	9a/dd77b7	107779	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	CACHED	0	2025-11-30 08:20:45.870	555ms	97ms	60.1%	1.7 MB	4.6 MB	137 KB	3.7 KB
75	76/72a4da	107902	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-11-30 08:20:45.912	635ms	101ms	42.3%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
78	69/0277ce	108038	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	CACHED	0	2025-11-30 08:20:45.958	658ms	86ms	66.0%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
82	5e/6526f6	108172	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-11-30 08:20:45.998	593ms	105ms	59.8%	1.7 MB	4.6 MB	137.6 KB	3.9 KB
84	54/7025a6	109656	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	CACHED	0	2025-11-30 08:20:46.398	413ms	47ms	109.8%	1.8 MB	4.6 MB	136.9 KB	3.5 KB
83	75/e28266	107842	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	CACHED	0	2025-11-30 08:20:45.890	593ms	95ms	58.7%	1.8 MB	4.6 MB	137 KB	3.7 KB
71	71/b7d1c0	107712	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-11-30 08:20:45.832	568ms	113ms	57.6%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
76	ed/4dafdd	107738	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	CACHED	0	2025-11-30 08:20:45.855	653ms	93ms	56.6%	1.7 MB	4.6 MB	138.5 KB	4.3 KB
72	69/fa348a	107871	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	CACHED	0	2025-11-30 08:20:45.900	609ms	82ms	57.7%	1.7 MB	4.6 MB	137.3 KB	3.8 KB
88	d6/fb9e75	110018	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_9055175-9057608)	CACHED	0	2025-11-30 08:20:46.471	406ms	47ms	95.0%	1.7 MB	4.6 MB	138 KB	3.8 KB
86	26/4acf14	109783	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_86252980-111703855)	CACHED	0	2025-11-30 08:20:46.427	388ms	48ms	123.1%	1.7 MB	4.6 MB	137.2 KB	3.8 KB
87	92/831e9d	109899	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752)	CACHED	0	2025-11-30 08:20:46.445	392ms	47ms	125.5%	1.7 MB	4.6 MB	137.9 KB	4 KB
85	c1/6ca852	109964	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	CACHED	0	2025-11-30 08:20:46.461	368ms	47ms	93.2%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
43	21/6cbd22	113298	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:37:55.647	13.4s	12.9s	123.2%	5.3 GB	6 GB	5.2 GB	4.3 MB
33	52/72b302	114320	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:38:09.123	10.3s	9.8s	123.6%	5.3 GB	12.2 GB	5.2 GB	4.7 MB
32	32/a12925	115181	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:38:19.431	6.3s	5.8s	163.0%	5.3 GB	5.9 GB	5.2 GB	4.7 MB
44	88/cb358c	115782	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:38:25.772	6.3s	5.8s	154.4%	5.3 GB	6 GB	5.2 GB	4.3 MB
19	3e/8083e7	116507	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:38:32.079	6.3s	5.9s	196.5%	5.3 GB	12.5 GB	5.2 GB	4.7 MB
50	16/ef3c92	117134	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:38:38.407	6.2s	5.7s	152.8%	5.3 GB	5.9 GB	5.2 GB	4.3 MB
30	88/1affd0	117733	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:38:44.645	7.3s	6.9s	194.7%	5.3 GB	5.9 GB	5.2 GB	4.7 MB
28	60/d2b5dd	118409	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:38:52.001	6.2s	5.8s	157.9%	5.3 GB	5.9 GB	5.2 GB	4.8 MB
35	c3/59c5fe	118979	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:38:58.273	5.7s	5.2s	145.2%	5.3 GB	12.2 GB	5.2 GB	4.4 MB
24	8f/cd5dd6	119531	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:39:03.952	5.8s	5.3s	148.1%	5.3 GB	12.2 GB	5.2 GB	4.7 MB
34	30/9cdfe1	120091	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:39:09.822	5.9s	5.4s	143.4%	5.3 GB	12.2 GB	5.2 GB	4.4 MB
26	f9/1341fe	120638	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S10)	COMPLETED	0	2025-11-30 08:39:15.717	5.7s	5.3s	147.7%	5.3 GB	12.4 GB	5.2 GB	4.7 MB
89	a4/d2ec27	121898	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (S10)	COMPLETED	0	2025-11-30 08:47:27.455	40s	39.3s	153.8%	5.6 GB	28.5 GB	6 GB	12.4 MB
90	d9/cc0b1e	123795	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (S10)	COMPLETED	0	2025-11-30 08:48:14.361	19.6s	19s	103.9%	254.8 MB	335 MB	5.9 GB	293 KB
91	89/e059db	123822	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (S10)	COMPLETED	0	2025-11-30 08:48:14.557	49.6s	50s	100.4%	2 GB	2.1 GB	3.5 GB	31.9 MB
94	82/6623cb	126430	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:14.458	11.8s	11.4s	171.6%	774.3 MB	11.8 GB	311.3 MB	728.2 KB
102	82/42e79b	126358	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:14.422	11.9s	11.5s	167.4%	602.8 MB	11.9 GB	285.8 MB	712.2 KB
97	74/1caf62	126458	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:14.469	12.4s	11.9s	186.1%	736.8 MB	11.8 GB	383.4 MB	734.5 KB
106	8c/0d1ddb	126375	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:14.434	13.3s	12.7s	179.4%	1.4 GB	11.7 GB	582.2 MB	705.1 KB
99	f3/25a016	126398	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:14.446	13.5s	13s	208.8%	954.3 MB	11.9 GB	372.7 MB	1003.3 KB
100	7c/7d5f71	126346	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:14.408	14.2s	13.6s	206.4%	1.1 GB	12.1 GB	391.6 MB	991.1 KB
96	18/c3fbad	126342	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:14.393	14.9s	14.3s	210.0%	935.4 MB	11.7 GB	353 MB	1.1 MB
105	14/a9cf81	133316	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:26.342	15s	14.3s	209.8%	756.2 MB	11.9 GB	358.8 MB	1002.8 KB
104	74/bf63d5	133243	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:26.267	15.6s	15s	208.9%	996.3 MB	11.7 GB	432.9 MB	926.2 KB
93	54/8e3229	133916	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:26.843	15.8s	15.2s	190.0%	1017.6 MB	11.9 GB	357 MB	1.1 MB
98	92/85f782	134677	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:27.770	16.5s	16s	188.4%	1 GB	11.7 GB	405.7 MB	974.7 KB
103	ff/8c2ff0	135059	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:27.969	16.5s	16s	191.1%	1.1 GB	11.7 GB	454.7 MB	945.9 KB
107	95/b80acd	135671	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S10)	COMPLETED	0	2025-11-30 08:57:28.599	16s	15.5s	214.3%	723.3 MB	11.9 GB	249.4 MB	1.2 MB
